cmpd_id,target_id,pic50_cens,cens
CHEMBL1349451,CHEMBL1293286,4.0,1
CHEMBL1372256,CHEMBL1293286,4.18045606446,1
CHEMBL1380684,CHEMBL1293286,4.18045606446,1
CHEMBL1390840,CHEMBL1293286,4.18045606446,1
CHEMBL1400512,CHEMBL1293286,4.18045606446,1
CHEMBL1405968,CHEMBL1293286,4.18045606446,1
CHEMBL1418004,CHEMBL1293286,4.18045606446,1
CHEMBL1422657,CHEMBL1293286,4.47592858407,0
CHEMBL1427539,CHEMBL1293286,4.47366072261,0
CHEMBL1452827,CHEMBL1293286,4.18045606446,1
CHEMBL1461216,CHEMBL1293286,5.04769199034,0
CHEMBL1462406,CHEMBL1293286,4.18045606446,1
CHEMBL1471698,CHEMBL1293286,4.18045606446,1
CHEMBL1486214,CHEMBL1293286,4.18045606446,1
CHEMBL1501132,CHEMBL1293286,4.40671393298,0
CHEMBL1520143,CHEMBL1293286,4.18045606446,1
CHEMBL1522300,CHEMBL1293286,4.99139982824,0
CHEMBL1608642,CHEMBL1293286,4.18045606446,1
CHEMBL1725279,CHEMBL1293286,4.51074483163,0
CHEMBL1864348,CHEMBL1293286,4.4630629773,0
CHEMBL1985932,CHEMBL1293286,4.19178902708,0
CHEMBL1991440,CHEMBL1293286,4.0,1
CHEMBL3145381,CHEMBL1293286,4.18045606446,1
CHEMBL45152,CHEMBL1293286,4.18045606446,1
CHEMBL66953,CHEMBL1293286,4.31921138849,0
CHEMBL1327721,CHEMBL1741176,5.0065637695,0
CHEMBL1335844,CHEMBL1741176,5.17979854051,1
CHEMBL1340713,CHEMBL1741176,5.0,1
CHEMBL1341981,CHEMBL1741176,5.09366495819,0
CHEMBL1365696,CHEMBL1741176,5.34198860334,0
CHEMBL1366942,CHEMBL1741176,5.642065153,0
CHEMBL1369492,CHEMBL1741176,5.0,0
CHEMBL1384702,CHEMBL1741176,5.71219827007,1
CHEMBL1399191,CHEMBL1741176,5.0,1
CHEMBL1423,CHEMBL1741176,,0
CHEMBL1427221,CHEMBL1741176,5.0,1
CHEMBL1429129,CHEMBL1741176,,0
CHEMBL1448592,CHEMBL1741176,5.65560772631,1
CHEMBL1526855,CHEMBL1741176,5.2740883677,0
CHEMBL17157,CHEMBL1741176,5.289036881,0
CHEMBL19954,CHEMBL1741176,5.0,1
CHEMBL300389,CHEMBL1741176,6.79588001734,0
CHEMBL3195749,CHEMBL1741176,5.44129142947,0
CHEMBL3199050,CHEMBL1741176,5.5376020021,0
CHEMBL338474,CHEMBL1741176,5.6143937264,0
CHEMBL417727,CHEMBL1741176,5.18909571933,1
CHEMBL498373,CHEMBL1741176,5.25806092227,0
CHEMBL567422,CHEMBL1741176,5.28819277096,0
CHEMBL116548,CHEMBL1741179,4.0,1
CHEMBL1302524,CHEMBL1741179,4.0,1
CHEMBL1304193,CHEMBL1741179,4.0,1
CHEMBL1310318,CHEMBL1741179,4.0,1
CHEMBL1318277,CHEMBL1741179,4.71219827007,0
